lat,lon,pm10_value
44.278336,10.578975,12.972461
44.27816,10.591501,11.703539
44.27799,10.604028,11.639227
44.27781,10.616554,11.430594
44.277634,10.629081,11.187565
44.277454,10.641607,11.521781
44.27727,10.654134,11.930002
44.27709,10.666659,12.860818
44.276905,10.679186,13.152712
44.276722,10.691711,13.155069
44.276535,10.704237,19.113457
44.27635,10.716763,16.58968
44.276157,10.729288,13.605592
44.275967,10.741814,13.326496
44.275776,10.754338,12.870024
44.275585,10.766864,12.857488
44.27539,10.779388,13.596025
44.275192,10.791914,14.920468
44.274998,10.804439,15.967124
44.274796,10.816963,16.794983
44.274597,10.829487,17.120869
44.274395,10.842011,14.90166
44.274193,10.854536,13.664069
44.27399,10.86706,13.246126
44.273785,10.879583,13.212116
44.27358,10.892108,12.755689
44.27337,10.904632,12.617593
44.27316,10.917155,12.607235
44.27295,10.929678,13.231488
44.272736,10.942202,13.616988
44.272522,10.954724,13.236916
44.27231,10.967248,13.127223
44.27209,10.979771,13.772456
44.271873,10.992293,14.453894
44.271652,11.004816,14.912964
44.271435,11.017338,15.611181
44.27121,11.0298605,13.118557
44.27099,11.042382,12.757313
44.270763,11.054904,13.81159
44.27054,11.067427,14.104896
44.27031,11.079947,14.16286
44.27008,11.092469,13.915115
44.26985,11.104991,14.640083
44.26962,11.117512,14.262462
44.269386,11.1300335,13.320008
44.269154,11.142554,13.567501
44.268917,11.155075,13.665244
44.26868,11.167596,13.473115
44.26844,11.180116,14.185965
44.2682,11.1926365,14.817339
44.26796,11.205156,14.857788
44.26772,11.217676,14.632116
44.267475,11.230196,14.155411
44.267227,11.242716,13.420243
44.266983,11.255236,13.397953
44.266735,11.267755,13.42694
44.266483,11.280274,13.769157
44.266235,11.292793,14.251212
44.265984,11.305312,14.3961
44.265728,11.317831,14.739176
44.265472,11.330349,14.882779
44.265217,11.342868,14.829268
44.26496,11.355386,14.668227
44.2647,11.367904,14.455249
44.264442,11.380422,14.522912
44.26418,11.39294,14.448975
44.263916,11.4054575,14.204544
44.263653,11.417974,13.975867
44.263386,11.430491,13.798581
44.26312,11.443008,13.810427
44.26285,11.455525,13.948201
44.26258,11.468042,14.081143
44.26231,11.480559,14.156341
44.262035,11.493075,14.192672
44.26176,11.505591,14.234365
44.261486,11.518107,14.282002
44.26121,11.530623,14.404042
44.260933,11.5431385,15.293004
44.26065,11.555655,15.861422
44.260372,11.56817,15.668513
44.26009,11.580685,15.38543
44.259808,11.5932,15.207708
44.25952,11.605714,15.178179
44.259235,11.618229,15.258571
44.258945,11.630743,15.371202
44.25866,11.643257,15.478276
44.258366,11.655771,15.626155
44.258076,11.668284,15.800487
44.257782,11.680799,15.963183
44.25749,11.693312,16.112225
44.25719,11.705825,16.261988
44.256893,11.718338,16.422815
44.256596,11.730851,16.577997
44.256294,11.743363,16.704975
44.255993,11.755876,16.884996
44.25569,11.768388,17.136383
44.289627,10.403803,12.17831
44.28947,10.416333,11.735504
44.289314,10.428864,11.231149
44.289158,10.441393,10.816763
44.288998,10.453923,10.846444
44.288837,10.466453,11.487836
44.288677,10.478982,11.604056
44.288513,10.491512,11.672275
44.28835,10.504042,12.435985
44.288185,10.516571,12.717523
44.288017,10.529099,12.708914
44.28785,10.541629,11.731183
44.287678,10.554158,11.824007
44.28751,10.566687,14.523021
44.287334,10.579216,13.501467
44.287163,10.591744,12.100656
44.286987,10.604273,12.131235
44.286808,10.616801,11.658124
44.286633,10.62933,12.0833025
44.286453,10.641858,12.949407
44.28627,10.654386,13.02577
44.28609,10.666914,13.153912
44.285904,10.679441,13.273324
44.28572,10.69197,13.084385
44.285534,10.704497,19.148165
44.285347,10.717025,14.145271
44.285156,10.729552,13.715837
44.284966,10.74208,13.664336
44.284775,10.754606,12.728259
44.284584,10.767134,12.97279
44.28439,10.77966,13.716098
44.28419,10.792187,14.624925
44.283993,10.804714,15.629837
44.283794,10.817241,16.909672
44.283596,10.829766,18.013887
44.283394,10.842293,16.685421
44.28319,10.854819,14.040349
44.282986,10.867345,13.473775
44.282784,10.87987,13.444835
44.282574,10.892397,12.90763
44.282368,10.9049225,12.67186
44.282158,10.917447,12.628408
44.281948,10.929973,13.033633
44.281734,10.942498,12.64301
44.28152,10.955023,12.506369
44.281303,10.967547,12.672168
44.28109,10.980073,13.134249
44.280872,10.992598,13.74246
44.28065,11.005121,14.402705
44.28043,11.017646,15.189229
44.28021,11.03017,13.756157
44.279984,11.042694,12.791216
44.279762,11.055218,14.469979
44.279533,11.067741,14.861607
44.27931,11.080265,14.536859
44.27908,11.092789,14.920779
44.278847,11.105312,14.999365
44.278618,11.117835,15.35064
44.278385,11.130359,13.570133
44.27815,11.142881,13.457232
44.277912,11.155404,13.249371
44.277676,11.167927,13.068855
44.27744,11.180449,13.9429245
44.2772,11.192971,14.932981
44.27696,11.205493,14.5344
44.276714,11.218015,14.369694
44.27647,11.230536,14.202565
44.276226,11.243058,13.628471
44.275978,11.25558,13.403942
44.27573,11.268101,13.760068
44.275482,11.2806225,14.300608
44.27523,11.293143,14.333543
44.27498,11.305664,14.391189
44.274723,11.318185,14.522852
44.27447,11.330705,14.52007
44.27421,11.3432255,14.436129
44.273956,11.355745,14.290344
44.273697,11.368265,14.265467
44.273438,11.380785,14.279048
44.273174,11.393305,14.236654
44.27291,11.405825,14.122261
44.272648,11.418344,13.969311
44.27238,11.430862,13.839999
44.272114,11.443381,13.870078
44.271847,11.4559,13.965776
44.271576,11.468419,14.061237
44.271305,11.480937,14.134689
44.27103,11.493456,14.193349
44.270756,11.505974,14.264537
44.27048,11.518492,14.373497
44.270203,11.53101,14.488386
44.269928,11.543527,14.596948
44.269646,11.556045,14.678334
44.269367,11.568562,15.091838
44.269085,11.581079,15.487063
44.2688,11.5935955,15.659143
44.268513,11.606112,15.709889
44.268227,11.6186285,15.718272
44.26794,11.631145,15.712287
44.26765,11.643661,15.740055
44.26736,11.656177,15.856038
44.267067,11.668692,16.040445
44.266777,11.681208,16.25152
44.26648,11.693723,16.434088
44.266186,11.706238,16.674818
44.26589,11.718753,17.021616
44.265587,11.731268,17.363794
44.26529,11.743782,17.702394
44.264988,11.756296,18.172863
44.264683,11.76881,18.242973
44.298626,10.404017,11.597938
44.298473,10.41655,11.409954
44.298317,10.429081,10.7211275
44.298157,10.441613,11.928396
44.298,10.454145,12.637341
44.29784,10.466677,12.176772
44.297676,10.479208,11.682379
44.297516,10.491739,11.822812
44.29735,10.5042715,12.487074
44.297184,10.516803,13.076134
44.297016,10.529333,12.653073
44.29685,10.541864,11.354056
44.29668,10.554396,11.527039
44.29651,10.566926,13.602129
44.296333,10.579457,13.127071
44.29616,10.591988,12.576206
44.295986,10.604518,12.689464
44.29581,10.617048,13.338725
44.29563,10.629579,13.921725
44.295452,10.642109,14.130093
44.29527,10.654638,13.293767
44.29509,10.667169,12.214558
44.294903,10.679698,11.63309
44.29472,10.692228,15.700581
44.294533,10.704758,22.187046
44.294346,10.717287,17.050627
44.294155,10.729816,13.848729
44.293964,10.742346,14.031302
44.293774,10.754874,13.275624
44.29358,10.767404,13.362043
44.293385,10.779932,13.79609
44.29319,10.79246,13.931164
44.29299,10.80499,14.095463
44.292793,10.817518,15.338739
44.292595,10.830046,18.186638
44.292393,10.842574,18.421255
44.29219,10.855103,15.333082
44.291985,10.86763,13.883528
44.29178,10.880157,13.783565
44.291573,10.892686,13.093535
44.291367,10.905213,12.785265
44.291157,10.91774,12.590744
44.290943,10.930267,12.468074
44.290733,10.942795,12.440667
44.29052,10.955321,12.413281
44.290302,10.967849,12.584871
44.290085,10.980375,12.722987
44.289867,10.992902,13.714785
44.28965,11.005428,14.648994
44.28943,11.017954,14.378013
44.289207,11.03048,12.530648
44.288982,11.043006,12.711688
44.288757,11.0555315,13.151399
44.288532,11.068058,13.471035
44.288303,11.080584,13.742816
44.288074,11.093108,15.39987
44.287846,11.105634,15.148338
44.287613,11.118158,15.3975115
44.28738,11.130684,14.388984
44.287148,11.1432085,13.422384
44.28691,11.155733,12.714174
44.286674,11.168258,12.761522
44.286434,11.180781,13.162
44.286194,11.193306,14.424451
44.285954,11.20583,14.659231
44.28571,11.218353,14.072214
44.285465,11.230877,14.190254
44.28522,11.243401,13.692954
44.284973,11.255924,13.993992
44.284725,11.268447,14.254987
44.284477,11.280971,14.377943
44.284225,11.293493,14.345414
44.283974,11.306016,14.42672
44.283722,11.318539,14.485694
44.283466,11.33106,14.536264
44.283207,11.343583,14.498948
44.28295,11.356105,14.419785
44.282692,11.368627,14.326037
44.282433,11.381148,14.1675625
44.28217,11.39367,14.064233
44.281906,11.406192,13.9824505
44.281643,11.418713,13.901562
44.281376,11.431233,13.867676
44.28111,11.443754,13.885283
44.280838,11.456275,13.927179
44.28057,11.468796,14.037601
44.280296,11.481317,14.153167
44.280025,11.493836,14.245159
44.27975,11.506356,14.343385
44.279476,11.518876,14.47166
44.279198,11.531396,14.611004
44.27892,11.543915,14.724753
44.27864,11.556435,14.737058
44.27836,11.5689535,14.891662
44.278076,11.581472,15.452935
44.277794,11.593991,15.928533
44.277508,11.606509,16.034044
44.27722,11.619028,15.89078
44.276936,11.631546,15.855803
44.276646,11.644064,15.963945
44.276356,11.656582,16.154318
44.276062,11.669099,16.381084
44.27577,11.681617,16.594343
44.275475,11.694134,16.774254
44.275177,11.706651,17.155985
44.27488,11.719168,19.38917
44.274582,11.731685,20.955328
44.27428,11.744201,21.152512
44.27398,11.756717,20.75333
44.273678,11.769233,20.219606
44.30763,10.404232,11.205262
44.307472,10.416766,11.184669
44.307316,10.429299,10.784221
44.30716,10.4418335,11.8406925
44.307,10.454368,12.90331
44.30684,10.466901,12.271203
44.30668,10.479434,11.637123
44.306515,10.491968,11.617361
44.30635,10.504501,12.231342
44.306183,10.517035,13.078162
44.30602,10.529567,12.07289
44.305847,10.5421,11.410945
44.30568,10.554633,11.431896
44.305508,10.567165,12.19033
44.305336,10.579699,12.220935
44.30516,10.592231,11.990624
44.304985,10.604763,12.922513
44.30481,10.617295,14.340734
44.30463,10.6298275,14.536037
44.30445,10.64236,14.190752
44.30427,10.654892,13.306261
44.30409,10.667423,12.63139
44.303905,10.6799555,12.395412
44.30372,10.692487,18.918009
44.30353,10.705018,23.552746
44.303345,10.717549,21.409996
44.303154,10.730081,15.786917
44.302963,10.742612,13.875622
44.302773,10.755142,14.359426
44.302578,10.7676735,14.800919
44.302383,10.780204,14.436709
44.30219,10.792735,15.019695
44.30199,10.805265,16.834703
44.301792,10.817796,21.546324
44.301594,10.830326,24.45903
44.30139,10.842855,20.96058
44.30119,10.855386,18.168314
44.300983,10.867915,15.243638
44.300777,10.8804455,14.224036
44.30057,10.892975,13.258634
44.30036,10.905504,12.89247
44.30015,10.918034,12.888109
44.299942,10.930562,12.757963
44.29973,10.943091,12.633305
44.299515,10.95562,12.661287
44.2993,10.968149,12.816613
44.299084,10.980678,12.968421
44.298866,10.993206,14.015099
44.298645,11.005734,15.087785
44.298424,11.018263,13.627144
44.298203,11.03079,12.903728
44.29798,11.043318,12.940443
44.297756,11.055846,12.90813
44.297527,11.068374,13.6606245
44.297302,11.080901,13.534807
44.297073,11.093429,13.538307
44.29684,11.105955,15.444766
44.29661,11.118483,15.339531
44.296375,11.131009,14.86387
44.296143,11.143536,13.640945
44.295906,11.156062,13.259345
44.29567,11.168589,13.241909
44.29543,11.181115,13.235238
44.295193,11.193641,13.505625
44.29495,11.206166,14.268943
44.29471,11.218693,14.392067
44.294464,11.231218,14.3251295
44.294216,11.243744,14.63401
44.293972,11.2562685,14.70488
44.293724,11.268794,14.492407
44.293472,11.281319,14.763648
44.29322,11.293843,14.879057
44.29297,11.306368,14.732481
44.292717,11.3188925,14.639231
44.29246,11.331417,14.590436
44.292206,11.343941,14.530987
44.291946,11.356465,14.508699
44.291687,11.368989,14.373169
44.291428,11.381513,14.18404
44.291164,11.394035,14.2005205
44.2909,11.406559,14.137358
44.290638,11.419082,13.973455
44.29037,11.431605,13.815377
44.290104,11.444128,13.872091
44.289833,11.456651,13.926598
44.289566,11.4691725,14.0635805
44.28929,11.481695,14.213927
44.28902,11.494217,14.334508
44.288746,11.506739,14.444906
44.28847,11.51926,14.584583
44.288193,11.531782,14.740046
44.287914,11.544304,14.850674
44.287636,11.556825,14.914543
44.287354,11.569345,15.150446
44.28707,11.581866,15.389665
44.28679,11.594387,15.656842
44.286503,11.606908,15.854577
44.286217,11.619428,15.76147
44.285927,11.6319475,15.951248
44.285637,11.644467,16.263815
44.285347,11.656987,16.500353
44.285057,11.669507,16.69891
44.284763,11.682026,16.869661
44.284466,11.694545,17.027864
44.284172,11.707064,17.163294
44.283875,11.719583,17.300652
44.283573,11.732101,17.471735
44.283276,11.744619,17.673502
44.28297,11.757137,17.896433
44.28267,11.769655,18.106476
44.316628,10.404447,10.855455
44.31647,10.416983,10.947547
44.316315,10.429519,10.751859
44.31616,10.442054,11.464685
44.315998,10.45459,12.736151
44.315838,10.467125,12.818449
44.315678,10.47966,12.111199
44.315514,10.492196,11.940043
44.31535,10.504731,12.14
44.315186,10.517266,12.639038
44.315018,10.529801,12.33685
44.31485,10.5423355,11.788389
44.31468,10.554871,11.65534
44.314507,10.567406,11.999231
44.314335,10.57994,12.214082
44.31416,10.592474,12.092026
44.313984,10.605008,12.835907
44.31381,10.617542,14.497572
44.31363,10.630076,15.418194
44.31345,10.642611,15.181398
44.31327,10.655145,14.665922
44.313087,10.667678,14.018133
44.312904,10.680212,13.484914
44.312717,10.692745,13.125588
44.31253,10.705278,15.3702345
44.312344,10.717812,13.818165
44.312153,10.730345,13.922353
44.311962,10.742878,13.678815
44.31177,10.755411,13.604914
44.311577,10.767943,13.713928
44.311382,10.780477,14.189452
44.311188,10.793009,15.50369
44.31099,10.805541,18.74257
44.31079,10.818073,23.083261
44.310593,10.8306055,26.423231
44.31039,10.843138,21.781826
44.31019,10.855669,16.87121
44.309982,10.868201,15.439614
44.309776,10.880733,14.440812
44.30957,10.893264,13.16995
44.30936,10.905795,12.797095
44.30915,10.918326,12.930631
44.30894,10.930858,13.1429825
44.308727,10.943388,13.333956
44.308514,10.955919,13.558662
44.308296,10.96845,13.810388
